Region,Country,Community Name,Population,Water Source Type,Water Availability (liters per capita per day),Number of Functional Water Points,Number of Non-Functional Water Points,Sanitation Facility Type,Annual Maintenance Cost (USD),Government Support,NGO Support,Average Distance to Water Source (km),Waterborne Diseases Incidence Rate (%),Community Satisfaction Rate (%)
Eastern Ethiopia,Ethiopia,Eastern Community 86,13345,River,45.1,32,7,Latrines,3506,Yes,No,3.9,22.3,85.5
Eastern Nigeria,Nigeria,Eastern Community 87,9957,Well,89.4,27,1,Latrines,7025,Yes,Yes,8.3,16.2,65.3
Western Kenya,Kenya,Western Community 88,7762,River,67.5,2,3,Latrines,5209,No,Yes,8.0,27.0,53.8
Southern Zambia,Zambia,Southern Community 89,5251,Well,97.8,4,6,Latrines,47217,Yes,No,1.8,27.8,86.7
Western Uganda,Uganda,Western Community 90,9492,Well,62.0,23,5,Toilets,37881,Yes,Yes,6.3,26.5,90.4
Eastern Nigeria,Nigeria,Eastern Community 91,3364,Borehole,38.4,27,8,Latrines,31676,No,Yes,8.9,8.3,68.1
Eastern Nigeria,Nigeria,Eastern Community 92,8948,Borehole,52.8,3,1,Latrines,39436,No,No,4.3,2.3,82.0
Dar es Salaam,Tanzania,Dar Community 93,14549,Well,32.7,47,8,Toilets,46556,No,Yes,7.9,1.3,85.6
Western Uganda,Uganda,Western Community 94,4701,Well,35.9,9,8,Toilets,24592,Yes,No,3.9,5.6,59.7
Western Uganda,Uganda,Western Community 95,6533,River,18.0,33,0,Latrines,38866,No,No,7.3,23.9,67.2
Northern Malawi,Malawi,Northern Community 96,12701,Borehole,62.5,30,9,Latrines,47933,No,No,6.0,26.4,87.9
Western Uganda,Uganda,Western Community 97,11652,River,22.0,7,8,Latrines,3231,No,Yes,7.8,2.2,91.2
Eastern Ethiopia,Ethiopia,Eastern Community 98,7742,River,33.0,37,5,Latrines,30269,Yes,No,5.0,14.8,84.7
Northern Malawi,Malawi,Northern Community 99,4456,River,64.6,39,10,Toilets,26658,Yes,Yes,1.6,26.9,53.5
Northern Malawi,Malawi,Northern Community 100,9750,River,44.8,17,3,Toilets,7454,No,No,8.3,5.5,77.7
Eastern Ethiopia,Ethiopia,Eastern Community 101,6655,River,18.4,13,8,Latrines,22218,No,No,9.6,9.2,61.7
Western Uganda,Uganda,Western Community 102,14128,Borehole,63.9,46,3,Latrines,47689,Yes,No,4.2,23.1,90.6
Northern Ghana,Ghana,Northern Community 103,10877,Borehole,78.1,26,6,Toilets,15415,No,No,9.1,6.3,79.8
Western Kenya,Kenya,Western Community 104,4950,Well,96.3,18,2,Toilets,23808,No,Yes,3.3,2.6,78.8
Northern Malawi,Malawi,Northern Community 105,3698,Borehole,41.2,16,2,Latrines,6314,Yes,No,4.3,14.1,77.3
Central Senegal,Senegal,Central Community 106,2496,Well,38.4,22,6,Latrines,32737,No,Yes,5.1,14.3,50.9
Dar es Salaam,Tanzania,Dar Community 107,1127,Well,97.5,31,0,Toilets,6510,Yes,No,9.9,27.0,55.6
Dar es Salaam,Tanzania,Dar Community 108,7102,River,80.1,8,3,Latrines,15547,No,No,9.2,16.0,77.8
Eastern Rwanda,Rwanda,Eastern Community 109,1237,River,90.2,18,7,Toilets,37822,No,No,6.3,10.5,54.9
Eastern Ethiopia,Ethiopia,Eastern Community 110,1925,Borehole,78.4,34,10,Latrines,33716,No,No,2.4,17.7,79.2
Northern Malawi,Malawi,Northern Community 111,8192,Borehole,71.7,10,8,Toilets,29286,No,No,9.3,27.4,91.4
Northern Malawi,Malawi,Northern Community 112,10214,Well,92.3,39,3,Latrines,19480,Yes,No,2.8,27.0,57.0
Southern Zambia,Zambia,Southern Community 113,12212,Borehole,84.9,36,3,Latrines,41621,No,No,8.5,5.7,54.8
Southern Zambia,Zambia,Southern Community 114,11122,River,81.6,46,9,Toilets,20200,No,No,9.5,10.8,62.2
Eastern Ethiopia,Ethiopia,Eastern Community 115,6489,Well,93.0,16,6,Latrines,11088,No,No,2.0,3.2,92.3
Eastern Rwanda,Rwanda,Eastern Community 116,5849,Well,97.4,7,8,Toilets,32269,Yes,No,8.4,10.2,75.1
Dar es Salaam,Tanzania,Dar Community 117,14705,Borehole,67.0,17,0,Toilets,4225,Yes,No,2.6,11.4,67.5
Northern Malawi,Malawi,Northern Community 118,6475,Well,51.4,48,6,Latrines,19845,Yes,No,3.6,2.9,57.8
Dar es Salaam,Tanzania,Dar Community 119,2816,Borehole,49.9,38,6,Toilets,3725,No,No,9.1,27.0,60.9
Central Senegal,Senegal,Central Community 120,6321,River,60.0,26,7,Toilets,35554,No,Yes,3.2,22.3,58.4
Western Uganda,Uganda,Western Community 121,14948,Well,55.9,3,8,Latrines,22766,No,No,9.9,10.7,85.9
Northern Malawi,Malawi,Northern Community 122,3277,Well,99.8,27,0,Toilets,28741,No,Yes,0.6,18.2,77.5
Eastern Rwanda,Rwanda,Eastern Community 123,1468,River,37.1,26,6,Toilets,31513,Yes,Yes,2.5,14.0,77.8
Western Kenya,Kenya,Western Community 124,12308,River,77.1,9,5,Latrines,30438,Yes,Yes,3.3,12.8,73.8
Western Uganda,Uganda,Western Community 125,8462,Well,15.0,5,5,Latrines,15631,No,Yes,0.7,13.4,90.2
Southern Zambia,Zambia,Southern Community 126,2352,River,13.8,30,5,Toilets,5596,No,Yes,3.8,9.4,56.5
Eastern Rwanda,Rwanda,Eastern Community 127,6166,River,79.0,7,2,Latrines,8824,Yes,No,2.2,27.5,68.2
Central Senegal,Senegal,Central Community 128,3672,Borehole,40.4,37,0,Toilets,31406,Yes,No,4.8,26.0,92.5
Eastern Nigeria,Nigeria,Eastern Community 129,7936,Borehole,35.6,36,8,Toilets,16761,No,No,5.3,7.1,83.6
Northern Malawi,Malawi,Northern Community 130,663,Borehole,65.9,27,4,Latrines,16500,No,Yes,9.9,8.3,57.2
Northern Malawi,Malawi,Northern Community 131,4723,River,50.6,26,0,Latrines,30761,No,Yes,6.6,21.1,71.7
Central Senegal,Senegal,Central Community 132,1534,Well,47.0,2,8,Toilets,21346,No,No,3.5,20.0,90.1
Eastern Rwanda,Rwanda,Eastern Community 133,11006,River,11.7,29,4,Toilets,23405,No,Yes,1.3,8.0,55.5
Eastern Nigeria,Nigeria,Eastern Community 134,11756,River,69.5,14,9,Toilets,44179,No,Yes,7.4,18.5,72.6
Western Uganda,Uganda,Western Community 135,8923,Borehole,64.2,6,1,Latrines,3890,Yes,Yes,4.0,6.0,58.3
Eastern Ethiopia,Ethiopia,Eastern Community 136,3029,Borehole,77.7,6,5,Latrines,49562,No,No,6.4,6.7,55.3
Dar es Salaam,Tanzania,Dar Community 137,2803,Borehole,60.4,26,9,Toilets,10446,Yes,Yes,3.0,24.5,70.9
Eastern Rwanda,Rwanda,Eastern Community 138,12826,Well,30.2,31,2,Latrines,19631,No,No,5.1,12.3,93.2
Northern Malawi,Malawi,Northern Community 139,9887,Well,34.8,32,7,Toilets,39770,Yes,Yes,8.8,27.1,93.2
Northern Malawi,Malawi,Northern Community 140,13716,Borehole,26.4,50,0,Latrines,33436,Yes,Yes,7.9,23.6,69.5
Southern Zambia,Zambia,Southern Community 141,2964,Borehole,46.1,46,6,Latrines,33287,Yes,No,7.3,29.7,57.4
Southern Zambia,Zambia,Southern Community 142,2223,Borehole,66.7,12,1,Toilets,7079,Yes,No,8.4,22.2,52.3
Western Uganda,Uganda,Western Community 143,7083,Well,82.1,29,4,Latrines,31072,Yes,No,9.9,19.6,90.9
Southern Zambia,Zambia,Southern Community 144,5078,Borehole,90.3,31,6,Latrines,39537,Yes,No,2.3,0.4,60.2
Eastern Nigeria,Nigeria,Eastern Community 145,12470,Well,42.0,5,10,Toilets,3530,No,No,7.3,17.7,88.8
Central Senegal,Senegal,Central Community 146,9707,Borehole,69.2,20,4,Latrines,21465,Yes,No,5.4,6.0,90.7
Western Uganda,Uganda,Western Community 147,10376,River,37.1,35,0,Toilets,47279,No,No,5.6,28.5,60.8
Eastern Rwanda,Rwanda,Eastern Community 148,10694,Well,75.3,12,8,Toilets,32510,Yes,No,2.1,15.2,51.2
Northern Malawi,Malawi,Northern Community 149,13896,River,25.3,36,1,Toilets,28466,Yes,No,1.4,22.6,65.2
Eastern Ethiopia,Ethiopia,Eastern Community 150,10027,Well,55.1,11,7,Latrines,4170,Yes,No,7.6,25.7,51.8
Northern Malawi,Malawi,Northern Community 151,12531,River,30.8,31,6,Toilets,24852,No,Yes,1.3,27.2,89.1
Southern Zambia,Zambia,Southern Community 152,2436,Well,71.8,36,8,Toilets,23840,Yes,Yes,5.4,4.3,58.0
Eastern Ethiopia,Ethiopia,Eastern Community 153,8243,River,81.5,4,3,Latrines,19665,Yes,No,6.1,29.8,50.5
Dar es Salaam,Tanzania,Dar Community 154,12919,River,63.6,21,9,Latrines,32584,No,Yes,2.8,22.8,88.7
Central Senegal,Senegal,Central Community 155,10595,Borehole,80.9,29,1,Toilets,3095,Yes,No,9.5,11.4,75.9
Eastern Rwanda,Rwanda,Eastern Community 156,2710,Borehole,43.0,21,5,Latrines,27932,No,No,2.5,17.7,83.7
Western Uganda,Uganda,Western Community 157,13958,Borehole,47.8,17,6,Latrines,14438,Yes,No,1.4,24.4,65.4
Western Kenya,Kenya,Western Community 158,3873,Borehole,81.7,35,0,Latrines,6271,Yes,No,1.5,18.6,65.8
Southern Zambia,Zambia,Southern Community 159,13468,Borehole,39.6,39,7,Toilets,9213,Yes,Yes,6.9,19.5,78.0
Eastern Rwanda,Rwanda,Eastern Community 160,2697,Well,44.2,13,3,Latrines,30042,No,Yes,4.4,24.6,87.0
Southern Zambia,Zambia,Southern Community 161,3733,Borehole,30.8,27,3,Latrines,21926,No,No,6.7,1.1,70.4
Northern Ghana,Ghana,Northern Community 162,12287,Borehole,77.5,7,8,Toilets,10290,Yes,Yes,7.3,17.4,50.3
Dar es Salaam,Tanzania,Dar Community 163,3782,Borehole,30.3,42,8,Toilets,34175,Yes,Yes,7.0,15.6,53.1
Eastern Rwanda,Rwanda,Eastern Community 164,13699,Well,76.7,43,2,Toilets,6561,No,No,8.6,9.4,61.2
Northern Malawi,Malawi,Northern Community 165,516,Well,50.4,10,3,Latrines,37294,Yes,No,7.0,20.1,80.0
Western Uganda,Uganda,Western Community 166,12460,Borehole,38.4,40,4,Toilets,3243,Yes,Yes,6.6,5.5,74.3
Western Kenya,Kenya,Western Community 167,7742,River,67.8,14,8,Latrines,10182,Yes,No,6.3,3.7,50.8
Western Uganda,Uganda,Western Community 168,14364,Well,67.9,1,0,Toilets,12757,Yes,No,4.4,20.1,60.5
Eastern Nigeria,Nigeria,Eastern Community 169,1736,River,31.4,12,2,Toilets,45087,No,Yes,7.8,28.0,71.7
Northern Ghana,Ghana,Northern Community 170,5243,River,53.4,11,7,Latrines,13003,Yes,Yes,2.2,21.4,91.8
Eastern Rwanda,Rwanda,Eastern Community 171,5522,Well,13.8,44,1,Toilets,6850,Yes,Yes,7.7,13.0,82.2
Northern Malawi,Malawi,Northern Community 172,1709,Borehole,81.0,30,5,Latrines,29923,Yes,Yes,3.9,16.3,67.6
Eastern Nigeria,Nigeria,Eastern Community 173,5329,River,81.5,41,1,Latrines,35767,No,No,1.1,13.6,65.5
Northern Malawi,Malawi,Northern Community 174,692,Well,64.9,11,2,Toilets,25294,Yes,Yes,8.9,6.2,89.8
Western Uganda,Uganda,Western Community 175,4370,Borehole,73.2,22,4,Latrines,17987,No,No,3.0,4.8,52.4
Northern Malawi,Malawi,Northern Community 176,3466,Well,31.1,1,8,Latrines,12824,No,No,9.1,4.9,90.5
Eastern Nigeria,Nigeria,Eastern Community 177,6789,River,96.8,30,1,Toilets,24190,Yes,No,4.6,3.7,59.8
Southern Zambia,Zambia,Southern Community 178,12221,Borehole,17.9,31,0,Toilets,30096,No,Yes,0.9,29.8,76.2
Central Senegal,Senegal,Central Community 179,2219,River,50.6,1,3,Toilets,30362,No,No,5.2,13.0,50.8
Northern Ghana,Ghana,Northern Community 180,10980,River,48.8,4,4,Toilets,23952,No,No,5.8,19.0,72.8
Western Kenya,Kenya,Western Community 181,12384,River,17.5,22,0,Toilets,2637,No,No,4.0,1.0,59.2
Eastern Rwanda,Rwanda,Eastern Community 182,1665,Well,43.5,32,7,Toilets,17931,Yes,Yes,6.8,18.6,74.3
Western Kenya,Kenya,Western Community 183,11137,Borehole,61.7,6,2,Latrines,43545,Yes,No,8.4,15.1,85.3
Eastern Ethiopia,Ethiopia,Eastern Community 184,3996,River,46.9,6,2,Toilets,24016,No,Yes,0.5,19.7,67.5
Dar es Salaam,Tanzania,Dar Community 185,9955,River,43.1,42,3,Latrines,9258,Yes,No,8.1,15.7,67.4
Northern Ghana,Ghana,Northern Community 186,5133,Well,40.5,21,4,Latrines,34806,No,No,5.4,12.0,69.3
Eastern Rwanda,Rwanda,Eastern Community 187,2406,Well,23.5,20,5,Toilets,10454,Yes,Yes,2.5,13.9,80.7
Western Uganda,Uganda,Western Community 188,12159,Well,51.0,1,2,Latrines,6643,No,No,2.4,18.6,64.6
Western Uganda,Uganda,Western Community 189,12904,Well,44.7,34,0,Latrines,43504,No,No,3.5,16.4,69.1
Northern Malawi,Malawi,Northern Community 190,8864,Borehole,14.0,32,3,Latrines,2079,Yes,Yes,4.5,14.9,54.1
Western Kenya,Kenya,Western Community 191,12878,Well,37.0,14,2,Toilets,18801,No,No,5.6,3.6,79.2
Western Uganda,Uganda,Western Community 192,11165,River,35.6,29,3,Latrines,43157,No,Yes,9.6,20.4,86.8
Central Senegal,Senegal,Central Community 193,14642,Well,53.2,36,3,Toilets,32986,No,No,9.5,29.5,57.4
Southern Zambia,Zambia,Southern Community 194,4566,River,12.9,48,9,Toilets,6026,Yes,Yes,7.5,3.0,91.5
Western Kenya,Kenya,Western Community 195,7104,Well,56.8,7,2,Latrines,4885,No,Yes,1.6,15.8,88.6
Central Senegal,Senegal,Central Community 196,12614,Borehole,12.7,14,4,Toilets,9797,Yes,No,5.3,10.2,80.7
Western Kenya,Kenya,Western Community 197,13646,Well,12.5,39,6,Latrines,27576,No,Yes,4.5,18.9,65.2
Northern Ghana,Ghana,Northern Community 198,12385,River,50.3,40,5,Latrines,33724,No,Yes,1.4,17.9,92.9
Eastern Rwanda,Rwanda,Eastern Community 199,6425,Borehole,62.6,16,1,Toilets,45949,No,Yes,1.6,16.5,52.3
Eastern Ethiopia,Ethiopia,Eastern Community 200,3514,Borehole,44.3,18,6,Toilets,10098,No,No,1.2,3.9,84.9
Northern Malawi,Malawi,Northern Community 201,2840,Borehole,61.6,14,5,Toilets,18375,Yes,No,2.7,14.7,76.0
Western Kenya,Kenya,Western Community 202,7551,Well,63.6,29,10,Toilets,33583,No,Yes,9.6,18.2,63.3
Central Senegal,Senegal,Central Community 203,13974,Borehole,52.4,27,10,Latrines,19749,Yes,Yes,5.8,28.7,78.8
Western Kenya,Kenya,Western Community 204,5438,Well,91.0,27,8,Toilets,46259,No,No,6.6,11.3,93.1
Western Uganda,Uganda,Western Community 205,1449,Borehole,25.2,26,1,Toilets,21555,No,Yes,4.5,26.5,61.6
Eastern Ethiopia,Ethiopia,Eastern Community 206,9153,River,71.5,44,8,Toilets,17532,No,Yes,8.0,18.0,76.6
Northern Ghana,Ghana,Northern Community 207,10254,Borehole,75.3,6,3,Toilets,19928,Yes,Yes,1.5,19.5,65.3
Central Senegal,Senegal,Central Community 208,11916,Borehole,63.6,19,0,Latrines,12164,Yes,No,0.7,25.5,73.2
Dar es Salaam,Tanzania,Dar Community 209,4173,Well,81.4,22,10,Toilets,35924,Yes,No,8.5,20.9,89.1
Northern Malawi,Malawi,Northern Community 210,11548,Borehole,57.0,20,6,Latrines,1712,No,Yes,9.1,12.7,70.5
Western Uganda,Uganda,Western Community 211,2705,Borehole,52.0,10,10,Latrines,13656,Yes,Yes,5.6,21.5,88.3
Eastern Nigeria,Nigeria,Eastern Community 212,14985,Borehole,25.2,47,9,Latrines,29287,Yes,Yes,9.2,8.7,82.6
Southern Zambia,Zambia,Southern Community 213,656,Well,34.4,40,1,Latrines,20458,No,Yes,6.2,22.5,61.4
Northern Malawi,Malawi,Northern Community 214,12951,Well,14.0,38,7,Toilets,27379,Yes,Yes,8.4,4.9,94.3
Western Uganda,Uganda,Western Community 215,2263,Well,50.2,33,4,Toilets,39471,No,Yes,1.6,25.8,63.1
Northern Ghana,Ghana,Northern Community 216,13411,Borehole,54.2,45,2,Toilets,24720,Yes,Yes,0.7,11.8,78.0
Eastern Rwanda,Rwanda,Eastern Community 217,748,Borehole,49.4,35,1,Latrines,30259,Yes,Yes,1.3,26.7,75.7
Western Uganda,Uganda,Western Community 218,13625,Borehole,56.8,44,10,Toilets,26596,Yes,No,2.0,29.8,74.8
Western Kenya,Kenya,Western Community 219,12202,Well,96.6,33,1,Latrines,4640,Yes,Yes,2.0,15.4,92.4
Western Uganda,Uganda,Western Community 220,6835,River,52.1,44,0,Toilets,46356,No,Yes,1.8,2.4,64.5
